No;smd_1;smd_2;smd_3;smd_4;smd_5;smd
1;0.565135268;10.8196;10.6974;11.3672;10.6020;1
2;0.195831159;11.0627;10.7334;11.1837;10.9070;1
3;0.737200592;11.0627;10.7334;11.2013;10.9070;1
4;0.699494489;10.4267;10.6135;11.2705;10.5039;1
5;0.044166442;10.6356;10.6311;11.2899;10.5766;1
6;-0.097277839;10.9838;10.6444;11.3685;10.6732;1
7;0.166367195;10.7317;11.0644;11.1167;10.6248;1
8;-1.810720095;10.9723;10.9758;11.2876;10.6804;1
9;-0.738982941;10.9925;10.9322;11.1831;10.7647;1
10;0.214416936;9.6292;10.6518;11.3473;10.7392;1
11;-0.677025255;10.6222;10.5532;11.3203;10.4756;1
12;-0.562845731;10.7254;10.5930;11.2037;10.7026;1
13;0.452870453;10.6102;10.7478;11.1326;10.6078;1
14;-0.188776096;10.6518;10.6725;11.1422;10.7043;1
15;-1.429902358;10.7452;10.6667;11.1949;10.8440;1
16;-0.506711326;10.8725;10.9207;11.0830;10.6348;1
17;-0.475661761;11.0184;10.7789;11.0993;10.8509;1
18;1.238068482;11.0665;10.8100;11.1917;10.8761;1
19;0.724776934;10.5719;10.7110;11.0717;10.2047;1
20;-0.498932007;10.8220;10.6639;11.2700;10.4406;1
21;0.046045855;10.8596;10.7258;11.2602;10.6405;1
22;0.178552556;10.8016;10.6155;11.1784;10.4887;1
23;0.933207139;10.9519;10.7012;11.1395;10.4604;1
24;2.383965609;11.0240;10.7556;11.0562;10.6098;1
25;-0.656163652;10.8118;10.7507;11.0683;10.3708;1
26;1.466554192;10.8797;10.7048;11.0837;10.6839;1
27;-0.423876839;11.0273;10.8421;11.0677;10.8209;1
28;-0.424272309;10.9695;10.6106;10.9755;10.2660;1
29;-0.38219699;11.1641;10.6681;11.1342;10.4401;1
30;-1.853846282;11.1169;10.6993;11.0409;10.7110;1
31;-2.213264432;10.9848;10.8172;11.0509;10.6823;1
32;-1.049637709;11.1491;10.7874;10.9961;10.7843;2
33;0.0379586;11.2568;10.7592;11.1877;11.1937;2
34;0.329453011;10.7917;10.8448;10.9628;10.2570;2
35;0.440036244;10.9397;10.7600;11.0401;10.4342;2
36;-0.24289652;10.9882;10.7428;11.2013;10.5335;2
37;0.398665525;10.7225;10.4896;11.2915;10.4474;2
38;-0.473811936;10.8107;10.4460;11.3670;10.4838;2
39;0.027545753;10.9032;10.4889;11.4773;10.6014;2
40;1.517553589;10.6320;10.5313;11.0360;10.0856;2
41;0.115569161;10.8836;10.4273;11.0782;10.4511;2
42;-2.020070883;11.2332;10.3116;11.2290;10.8890;2
43;2.247873216;10.7495;10.7185;11.1839;10.4639;2
44;0.532520961;10.6758;10.5469;11.2986;10.5828;2
45;1.054967508;10.8881;10.6207;11.2926;10.6879;2
46;-0.931626638;10.8165;10.2966;11.0324;10.6338;2
47;0.605469515;10.8616;10.6619;11.0622;10.7319;2
48;-0.224063256;10.8006;10.7230;11.2180;10.9138;2
49;1.862266827;10.7284;10.8148;11.0712;10.5834;2
50;-2.012336409;10.7699;10.7250;11.0889;10.5815;2
51;1.249309254;10.8813;10.7454;11.3079;10.8283;2
52;0.954874486;10.9527;10.4205;10.9927;10.3037;2
53;-0.622397512;10.9481;10.4104;11.1053;10.3357;2
54;-0.001264459;11.0530;10.5493;11.2651;10.4472;2
55;-1.777469926;10.9054;10.6092;11.1889;10.5172;2
56;0.921397656;10.9689;10.7860;11.2100;10.6793;2
57;0.297987779;10.9640;10.7205;11.2668;10.7345;2
58;0.096667078;10.7324;10.4952;11.1154;10.4003;2
59;0.572292799;10.8287;10.4426;11.1561;10.3945;2
60;-1.707044346;10.8446;10.4366;11.4311;10.6405;2
61;-0.090921973;10.9422;10.4621;11.0462;10.1650;2
62;0.539235732;10.8191;10.5252;11.1433;10.2495;2
63;0.213134032;10.9059;10.6221;11.1799;10.4649;2
